"","Name","commonName","Stage","Group","Order","Family","Species","Lagoon","Year","Year2","Kgs"
"197","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Goleta","2007-08",2007,70.9
"198","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","2007-08",2007,1044.3
"199","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","2008-09",2008,1915
"200","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","2008-09",2008,1393.75
"201","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","2008-09",2008,10720.4
"202","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","2009-10",2009,5768
"203","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","2009-10",2009,1655
"204","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","2009-10",2009,1825.75
"205","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","2009-10",2009,2767.25
"206","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","2010-11",2010,4848.1
"207","Anguila","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","2010-11",2010,1343
"208","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","2010-11",2010,6545
"209","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","2010-11",2010,3485
"210","Anguiles","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Goleta","1992-93",1992,118.1
"211","Anguiles","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1993-94",1993,2798
