"","Year2","spp","model","fit","se","upper","lower"
"242",1976,"Sprattus sprattus","modS_fit",1482.71421919912,0.546153089319672,4420.18043965087,497.364640613834
"243",1977,"Sprattus sprattus","modS_fit",1499.55752579333,0.509284086376578,4152.61499276992,541.507646887218
"244",1978,"Sprattus sprattus","modS_fit",1521.61324610787,0.475316428843305,3936.94080322956,588.097963990623
"245",1979,"Sprattus sprattus","modS_fit",1549.15843839832,0.444939952303097,3771.94862703157,636.247230426722
"246",1980,"Sprattus sprattus","modS_fit",1582.59424027899,0.4189059297812,3657.85636916697,684.719211633404
"247",1981,"Sprattus sprattus","modS_fit",1621.8534620696,0.397848975859114,3594.00636495088,731.887588758651
"248",1982,"Sprattus sprattus","modS_fit",1666.86912367644,0.381897850697515,3577.78105779775,776.585439573013
"249",1983,"Sprattus sprattus","modS_fit",1717.7453044477,0.370714991909193,3605.43541821664,818.389067806856
"250",1984,"Sprattus sprattus","modS_fit",1774.51335125051,0.363698909937475,3672.68880013007,857.382099364044
"251",1985,"Sprattus sprattus","modS_fit",1837.41597398034,0.360170380527464,3776.13493922433,894.061657164086
"252",1986,"Sprattus sprattus","modS_fit",1906.77901051063,0.359470901478833,3913.20698874978,929.111648163925
"253",1987,"Sprattus sprattus","modS_fit",1982.69777294976,0.360829703966491,4080.08506251173,963.48247613248
"254",1988,"Sprattus sprattus","modS_fit",2065.43267478053,0.363906075211941,4276.57254968052,997.530635688563
